dataset,model,state_mode,reward_mode,mean_total_reward,mean_final_waiting,mean_avg_waiting,mean_avg_travel_time
hangzhou_1x1_bc-tyc_18041607_1h,dqn,capped_no_phase,env,-958.6999999999996,5.0,3.680555555555556,69.19808306709265
hangzhou_1x1_bc-tyc_18041607_1h,ppo,capped_no_phase,env,-793.3999999999999,5.0,2.673611111111111,65.73801916932908
hangzhou_1x1_bc-tyc_18041607_1h,a2c,capped_no_phase,env,-852.1999999999996,5.0,3.048611111111111,66.53674121405751
hangzhou_1x1_bc-tyc_18041607_1h,dqn,capped_no_phase,wait_only,-512.0,7.0,3.555555555555556,68.27476038338658
hangzhou_1x1_bc-tyc_18041607_1h,ppo,capped_no_phase,wait_only,-411.0,4.0,2.854166666666667,65.99680511182109
hangzhou_1x1_bc-tyc_18041607_1h,a2c,capped_no_phase,wait_only,-415.0,11.0,2.881944444444444,66.3226837060703
hangzhou_1x1_bc-tyc_18041607_1h,dqn,capped_no_phase,wait_plus_vehicle,-806.7999999999995,10.0,2.7777777777777777,65.49840255591053
hangzhou_1x1_bc-tyc_18041607_1h,ppo,capped_no_phase,wait_plus_vehicle,-920.8000000000004,4.0,3.4652777777777777,67.93610223642172
hangzhou_1x1_bc-tyc_18041607_1h,a2c,capped_no_phase,wait_plus_vehicle,-791.4999999999998,4.0,2.666666666666667,65.61341853035142
hangzhou_1x1_bc-tyc_18041607_1h,dqn,capped_no_phase,delta_wait,-8.0,8.0,4.944444444444445,71.92012779552715
hangzhou_1x1_bc-tyc_18041607_1h,ppo,capped_no_phase,delta_wait,-5.0,5.0,2.4722222222222223,65.19808306709265
hangzhou_1x1_bc-tyc_18041607_1h,a2c,capped_no_phase,delta_wait,-3.0,3.0,2.430555555555556,64.83067092651757
hangzhou_1x1_bc-tyc_18041607_1h,dqn,capped_with_phase,env,-871.6999999999996,6.0,3.138888888888889,67.61341853035142
hangzhou_1x1_bc-tyc_18041607_1h,ppo,capped_with_phase,env,-858.2000000000002,6.0,3.0625,67.14376996805113
hangzhou_1x1_bc-tyc_18041607_1h,a2c,capped_with_phase,env,-812.5999999999997,9.0,2.8125,65.66453674121406
hangzhou_1x1_bc-tyc_18041607_1h,dqn,capped_with_phase,wait_only,-516.0,6.0,3.5833333333333335,69.15335463258785
hangzhou_1x1_bc-tyc_18041607_1h,ppo,capped_with_phase,wait_only,-349.0,5.0,2.423611111111111,64.84984025559105
hangzhou_1x1_bc-tyc_18041607_1h,a2c,capped_with_phase,wait_only,-394.0,5.0,2.736111111111111,65.36421725239617
hangzhou_1x1_bc-tyc_18041607_1h,dqn,capped_with_phase,wait_plus_vehicle,-893.7,8.0,3.2916666666666665,67.6773162939297
hangzhou_1x1_bc-tyc_18041607_1h,ppo,capped_with_phase,wait_plus_vehicle,-874.2000000000002,8.0,3.2083333333333335,66.38977635782747
hangzhou_1x1_bc-tyc_18041607_1h,a2c,capped_with_phase,wait_plus_vehicle,-829.6,5.0,2.9097222222222223,66.15654952076679
hangzhou_1x1_bc-tyc_18041607_1h,dqn,capped_with_phase,delta_wait,-7.0,7.0,3.4097222222222223,68.1373801916933
hangzhou_1x1_bc-tyc_18041607_1h,ppo,capped_with_phase,delta_wait,-5.0,5.0,2.638888888888889,64.814696485623
hangzhou_1x1_bc-tyc_18041607_1h,a2c,capped_with_phase,delta_wait,-3.0,3.0,2.569444444444444,65.6070287539936
hangzhou_1x1_bc-tyc_18041607_1h,dqn,bucketed_no_phase,env,-1092.2000000000003,19.0,4.590277777777778,69.84664536741215
hangzhou_1x1_bc-tyc_18041607_1h,ppo,bucketed_no_phase,env,-1380.3999999999999,29.0,6.597222222222223,73.1182108626198
hangzhou_1x1_bc-tyc_18041607_1h,a2c,bucketed_no_phase,env,-1768.9999999999995,36.0,9.01388888888889,78.01277955271566
hangzhou_1x1_bc-tyc_18041607_1h,dqn,bucketed_no_phase,wait_only,-842.0,10.0,5.847222222222222,74.08626198083066
hangzhou_1x1_bc-tyc_18041607_1h,ppo,bucketed_no_phase,wait_only,-1047.0,28.0,7.270833333333333,75.1629392971246
hangzhou_1x1_bc-tyc_18041607_1h,a2c,bucketed_no_phase,wait_only,-1218.0,11.0,8.458333333333332,80.41533546325878
hangzhou_1x1_bc-tyc_18041607_1h,dqn,bucketed_no_phase,wait_plus_vehicle,-1719.8999999999996,18.0,8.48611111111111,79.94888178913739
hangzhou_1x1_bc-tyc_18041607_1h,ppo,bucketed_no_phase,wait_plus_vehicle,-3086.7999999999993,68.0,17.47222222222222,91.61980830670926
hangzhou_1x1_bc-tyc_18041607_1h,a2c,bucketed_no_phase,wait_plus_vehicle,-2290.0,26.0,12.166666666666668,86.52076677316293
hangzhou_1x1_bc-tyc_18041607_1h,dqn,bucketed_no_phase,delta_wait,-10.0,10.0,5.361111111111112,72.46006389776358
hangzhou_1x1_bc-tyc_18041607_1h,ppo,bucketed_no_phase,delta_wait,-17.0,17.0,6.388888888888888,73.89776357827476
hangzhou_1x1_bc-tyc_18041607_1h,a2c,bucketed_no_phase,delta_wait,-32.0,32.0,9.36111111111111,79.28753993610223
hangzhou_1x1_bc-tyc_18041607_1h,dqn,bucketed_with_phase,env,-897.2,6.0,3.3125,67.57188498402556
hangzhou_1x1_bc-tyc_18041607_1h,ppo,bucketed_with_phase,env,-1233.1999999999994,7.0,5.444444444444445,72.41533546325878
hangzhou_1x1_bc-tyc_18041607_1h,a2c,bucketed_with_phase,env,-1514.6,22.0,7.25,75.71565495207668
hangzhou_1x1_bc-tyc_18041607_1h,dqn,bucketed_with_phase,wait_only,-506.0,7.0,3.5138888888888884,67.99680511182109
hangzhou_1x1_bc-tyc_18041607_1h,ppo,bucketed_with_phase,wait_only,-415.0,6.0,2.881944444444444,65.88817891373802
hangzhou_1x1_bc-tyc_18041607_1h,a2c,bucketed_with_phase,wait_only,-399.0,5.0,2.770833333333333,65.61661341853036
hangzhou_1x1_bc-tyc_18041607_1h,dqn,bucketed_with_phase,wait_plus_vehicle,-1534.0000000000005,17.0,7.298611111111112,77.64536741214057
hangzhou_1x1_bc-tyc_18041607_1h,ppo,bucketed_with_phase,wait_plus_vehicle,-2218.0999999999995,19.0,11.652777777777777,86.8370607028754
hangzhou_1x1_bc-tyc_18041607_1h,a2c,bucketed_with_phase,wait_plus_vehicle,-763.9,6.0,2.513888888888889,64.78594249201277
hangzhou_1x1_bc-tyc_18041607_1h,dqn,bucketed_with_phase,delta_wait,-7.0,7.0,3.4583333333333335,68.33865814696487
hangzhou_1x1_bc-tyc_18041607_1h,ppo,bucketed_with_phase,delta_wait,-7.0,7.0,4.152777777777778,70.0415335463259
hangzhou_1x1_bc-tyc_18041607_1h,a2c,bucketed_with_phase,delta_wait,-3.0,3.0,2.708333333333333,65.54313099041534
hangzhou_1x1_bc-tyc_18041608_1h,dqn,capped_no_phase,env,-3691.4000000000015,46.0,31.65277777777778,124.9209979209979
hangzhou_1x1_bc-tyc_18041608_1h,ppo,capped_no_phase,env,-5469.9,104.0,73.90972222222221,235.8253638253638
hangzhou_1x1_bc-tyc_18041608_1h,a2c,capped_no_phase,env,-6217.0,79.0,47.84722222222222,143.8918918918919
hangzhou_1x1_bc-tyc_18041608_1h,dqn,capped_no_phase,wait_only,-3871.0,25.0,26.881944444444446,113.71933471933474
hangzhou_1x1_bc-tyc_18041608_1h,ppo,capped_no_phase,wait_only,-5435.0,76.0,37.74305555555556,120.08108108108108
hangzhou_1x1_bc-tyc_18041608_1h,a2c,capped_no_phase,wait_only,-6190.0,81.0,42.98611111111111,126.46985446985448
hangzhou_1x1_bc-tyc_18041608_1h,dqn,capped_no_phase,wait_plus_vehicle,-4175.5,26.0,22.583333333333336,103.9085239085239
hangzhou_1x1_bc-tyc_18041608_1h,ppo,capped_no_phase,wait_plus_vehicle,-6201.699999999999,62.0,35.30555555555556,118.54054054054056
hangzhou_1x1_bc-tyc_18041608_1h,a2c,capped_no_phase,wait_plus_vehicle,-6850.600000000003,83.0,39.53472222222222,122.50935550935553
hangzhou_1x1_bc-tyc_18041608_1h,dqn,capped_no_phase,delta_wait,-31.0,31.0,20.13888888888889,100.70270270270271
hangzhou_1x1_bc-tyc_18041608_1h,ppo,capped_no_phase,delta_wait,-38.0,38.0,21.34722222222222,100.15384615384616
hangzhou_1x1_bc-tyc_18041608_1h,a2c,capped_no_phase,delta_wait,-50.0,50.0,26.298611111111107,112.33264033264034
hangzhou_1x1_bc-tyc_18041608_1h,dqn,capped_with_phase,env,-3573.1,48.0,27.861111111111107,111.11226611226611
hangzhou_1x1_bc-tyc_18041608_1h,ppo,capped_with_phase,env,-5255.699999999996,99.0,72.59027777777779,233.46569646569645
hangzhou_1x1_bc-tyc_18041608_1h,a2c,capped_with_phase,env,-7046.999999999998,146.0,76.66666666666666,169.3014553014553
hangzhou_1x1_bc-tyc_18041608_1h,dqn,capped_with_phase,wait_only,-3105.0,29.0,21.5625,105.56340956340958
hangzhou_1x1_bc-tyc_18041608_1h,ppo,capped_with_phase,wait_only,-4752.0,59.0,33.0,115.14345114345114
hangzhou_1x1_bc-tyc_18041608_1h,a2c,capped_with_phase,wait_only,-14023.0,158.0,97.38194444444444,225.07276507276507
hangzhou_1x1_bc-tyc_18041608_1h,dqn,capped_with_phase,wait_plus_vehicle,-3595.9,21.0,19.0,99.46569646569648
hangzhou_1x1_bc-tyc_18041608_1h,ppo,capped_with_phase,wait_plus_vehicle,-7199.600000000001,82.0,41.95138888888889,122.80041580041579
hangzhou_1x1_bc-tyc_18041608_1h,a2c,capped_with_phase,wait_plus_vehicle,-6728.8,72.0,38.79166666666667,121.11850311850313
hangzhou_1x1_bc-tyc_18041608_1h,dqn,capped_with_phase,delta_wait,-55.0,55.0,28.701388888888893,115.85446985446985
hangzhou_1x1_bc-tyc_18041608_1h,ppo,capped_with_phase,delta_wait,-28.0,28.0,17.97222222222222,94.24740124740126
hangzhou_1x1_bc-tyc_18041608_1h,a2c,capped_with_phase,delta_wait,-50.0,50.0,28.8125,113.78378378378379
hangzhou_1x1_bc-tyc_18041608_1h,dqn,bucketed_no_phase,env,-3795.0999999999995,58.0,50.03472222222222,183.9459459459459
hangzhou_1x1_bc-tyc_18041608_1h,ppo,bucketed_no_phase,env,-7450.300000000001,146.0,94.36805555555556,261.43659043659045
hangzhou_1x1_bc-tyc_18041608_1h,a2c,bucketed_no_phase,env,-7300.499999999997,146.0,82.20138888888889,181.61746361746364
hangzhou_1x1_bc-tyc_18041608_1h,dqn,bucketed_no_phase,wait_only,-6221.0,63.0,43.20138888888889,151.33887733887735
hangzhou_1x1_bc-tyc_18041608_1h,ppo,bucketed_no_phase,wait_only,-9891.0,146.0,68.6875,154.44698544698548
hangzhou_1x1_bc-tyc_18041608_1h,a2c,bucketed_no_phase,wait_only,-8497.0,142.0,59.00694444444444,150.04573804573803
hangzhou_1x1_bc-tyc_18041608_1h,dqn,bucketed_no_phase,wait_plus_vehicle,-6948.8,45.0,40.1875,147.99376299376303
hangzhou_1x1_bc-tyc_18041608_1h,ppo,bucketed_no_phase,wait_plus_vehicle,-13268.100000000002,146.0,81.52083333333334,180.19334719334717
hangzhou_1x1_bc-tyc_18041608_1h,a2c,bucketed_no_phase,wait_plus_vehicle,-13264.300000000007,146.0,81.5,180.10187110187107
hangzhou_1x1_bc-tyc_18041608_1h,dqn,bucketed_no_phase,delta_wait,-30.0,30.0,25.11111111111111,106.65072765072765
hangzhou_1x1_bc-tyc_18041608_1h,ppo,bucketed_no_phase,delta_wait,-58.0,58.0,33.90972222222222,115.66943866943868
hangzhou_1x1_bc-tyc_18041608_1h,a2c,bucketed_no_phase,delta_wait,-66.0,66.0,33.71527777777778,114.55509355509358
hangzhou_1x1_bc-tyc_18041608_1h,dqn,bucketed_with_phase,env,-3883.9999999999986,80.0,61.5625,210.6798336798337
hangzhou_1x1_bc-tyc_18041608_1h,ppo,bucketed_with_phase,env,-5836.5999999999985,117.0,76.28472222222221,237.39501039501042
hangzhou_1x1_bc-tyc_18041608_1h,a2c,bucketed_with_phase,env,-7150.200000000003,143.0,89.55555555555556,246.33056133056135
hangzhou_1x1_bc-tyc_18041608_1h,dqn,bucketed_with_phase,wait_only,-8274.0,85.0,57.458333333333336,159.30769230769232
hangzhou_1x1_bc-tyc_18041608_1h,ppo,bucketed_with_phase,wait_only,-11355.0,146.0,78.85416666666666,174.004158004158
hangzhou_1x1_bc-tyc_18041608_1h,a2c,bucketed_with_phase,wait_only,-8542.0,142.0,59.31944444444444,147.44698544698548
hangzhou_1x1_bc-tyc_18041608_1h,dqn,bucketed_with_phase,wait_plus_vehicle,-7675.4,64.0,44.96527777777778,143.8669438669439
hangzhou_1x1_bc-tyc_18041608_1h,ppo,bucketed_with_phase,wait_plus_vehicle,-13373.000000000004,146.0,82.1875,181.57380457380458
hangzhou_1x1_bc-tyc_18041608_1h,a2c,bucketed_with_phase,wait_plus_vehicle,-6972.300000000001,74.0,40.63888888888889,118.73804573804573
hangzhou_1x1_bc-tyc_18041608_1h,dqn,bucketed_with_phase,delta_wait,-37.0,37.0,24.96527777777778,112.82744282744281
hangzhou_1x1_bc-tyc_18041608_1h,ppo,bucketed_with_phase,delta_wait,-50.0,50.0,30.416666666666668,107.93139293139293
hangzhou_1x1_bc-tyc_18041608_1h,a2c,bucketed_with_phase,delta_wait,-50.0,50.0,29.618055555555554,110.81496881496882
hangzhou_1x1_bc-tyc_18041610_1h,dqn,capped_no_phase,env,-2617.0000000000005,40.0,18.944444444444446,96.65601965601965
hangzhou_1x1_bc-tyc_18041610_1h,ppo,capped_no_phase,env,-3721.499999999999,55.0,43.11111111111111,163.33169533169533
hangzhou_1x1_bc-tyc_18041610_1h,a2c,capped_no_phase,env,-1816.7999999999997,15.0,8.38888888888889,77.95577395577394
hangzhou_1x1_bc-tyc_18041610_1h,dqn,capped_no_phase,wait_only,-1231.0,12.0,8.54861111111111,78.18427518427518
hangzhou_1x1_bc-tyc_18041610_1h,ppo,capped_no_phase,wait_only,-1532.0,13.0,10.63888888888889,83.7985257985258
hangzhou_1x1_bc-tyc_18041610_1h,a2c,capped_no_phase,wait_only,-1863.0,19.0,12.9375,87.85503685503684
hangzhou_1x1_bc-tyc_18041610_1h,dqn,capped_no_phase,wait_plus_vehicle,-1939.5000000000007,9.0,9.097222222222223,78.61916461916462
hangzhou_1x1_bc-tyc_18041610_1h,ppo,capped_no_phase,wait_plus_vehicle,-2296.0,26.0,11.354166666666668,82.44226044226045
hangzhou_1x1_bc-tyc_18041610_1h,a2c,capped_no_phase,wait_plus_vehicle,-1692.7000000000003,13.0,7.513888888888888,76.27518427518427
hangzhou_1x1_bc-tyc_18041610_1h,dqn,capped_no_phase,delta_wait,-14.0,14.0,7.5,76.007371007371
hangzhou_1x1_bc-tyc_18041610_1h,ppo,capped_no_phase,delta_wait,-13.0,13.0,5.743055555555555,71.73955773955774
hangzhou_1x1_bc-tyc_18041610_1h,a2c,capped_no_phase,delta_wait,-17.0,17.0,6.402777777777777,73.24815724815724
hangzhou_1x1_bc-tyc_18041610_1h,dqn,capped_with_phase,env,-2491.2,38.0,23.791666666666664,107.70270270270271
hangzhou_1x1_bc-tyc_18041610_1h,ppo,capped_with_phase,env,-3897.5,68.0,45.33333333333333,165.9238329238329
hangzhou_1x1_bc-tyc_18041610_1h,a2c,capped_with_phase,env,-2128.9000000000005,13.0,10.32638888888889,81.19410319410318
hangzhou_1x1_bc-tyc_18041610_1h,dqn,capped_with_phase,wait_only,-1270.0,14.0,8.819444444444445,79.6068796068796
hangzhou_1x1_bc-tyc_18041610_1h,ppo,capped_with_phase,wait_only,-997.0,14.0,6.923611111111112,74.31695331695332
hangzhou_1x1_bc-tyc_18041610_1h,a2c,capped_with_phase,wait_only,-1119.0,11.0,7.770833333333333,76.65356265356266
hangzhou_1x1_bc-tyc_18041610_1h,dqn,capped_with_phase,wait_plus_vehicle,-1921.1999999999996,13.0,8.958333333333332,78.87223587223589
hangzhou_1x1_bc-tyc_18041610_1h,ppo,capped_with_phase,wait_plus_vehicle,-2260.6,20.0,11.1875,81.14004914004913
hangzhou_1x1_bc-tyc_18041610_1h,a2c,capped_with_phase,wait_plus_vehicle,-2502.499999999999,16.0,12.541666666666668,86.95331695331696
hangzhou_1x1_bc-tyc_18041610_1h,dqn,capped_with_phase,delta_wait,-19.0,19.0,10.75,83.9090909090909
hangzhou_1x1_bc-tyc_18041610_1h,ppo,capped_with_phase,delta_wait,-8.0,8.0,5.326388888888888,70.32432432432434
hangzhou_1x1_bc-tyc_18041610_1h,a2c,capped_with_phase,delta_wait,-15.0,15.0,10.159722222222223,82.31203931203933
hangzhou_1x1_bc-tyc_18041610_1h,dqn,bucketed_no_phase,env,-3463.5999999999995,50.0,39.24305555555556,153.04668304668306
hangzhou_1x1_bc-tyc_18041610_1h,ppo,bucketed_no_phase,env,-6608.2,134.0,74.42361111111111,210.06142506142504
hangzhou_1x1_bc-tyc_18041610_1h,a2c,bucketed_no_phase,env,-4413.3,61.0,26.71527777777778,105.84520884520884
hangzhou_1x1_bc-tyc_18041610_1h,dqn,bucketed_no_phase,wait_only,-4572.0,44.0,31.75,120.02702702702705
hangzhou_1x1_bc-tyc_18041610_1h,ppo,bucketed_no_phase,wait_only,-4054.0,105.0,28.15277777777778,103.40786240786242
hangzhou_1x1_bc-tyc_18041610_1h,a2c,bucketed_no_phase,wait_only,-3722.0,55.0,25.84722222222222,106.16461916461917
hangzhou_1x1_bc-tyc_18041610_1h,dqn,bucketed_no_phase,wait_plus_vehicle,-5543.5999999999985,56.0,31.888888888888893,125.96560196560196
hangzhou_1x1_bc-tyc_18041610_1h,ppo,bucketed_no_phase,wait_plus_vehicle,-5097.999999999997,67.0,29.34722222222222,108.31449631449632
hangzhou_1x1_bc-tyc_18041610_1h,a2c,bucketed_no_phase,wait_plus_vehicle,-5274.199999999999,66.0,30.3125,112.94348894348896
hangzhou_1x1_bc-tyc_18041610_1h,dqn,bucketed_no_phase,delta_wait,-33.0,33.0,17.84722222222222,95.98280098280098
hangzhou_1x1_bc-tyc_18041610_1h,ppo,bucketed_no_phase,delta_wait,-29.0,29.0,12.909722222222223,84.64619164619167
hangzhou_1x1_bc-tyc_18041610_1h,a2c,bucketed_no_phase,delta_wait,-29.0,29.0,12.11111111111111,82.94103194103194
hangzhou_1x1_bc-tyc_18041610_1h,dqn,bucketed_with_phase,env,-4302.199999999998,69.0,40.1875,140.74692874692875
hangzhou_1x1_bc-tyc_18041610_1h,ppo,bucketed_with_phase,env,-6608.2,134.0,74.42361111111111,210.06142506142504
hangzhou_1x1_bc-tyc_18041610_1h,a2c,bucketed_with_phase,env,-6470.300000000002,158.0,82.04861111111111,212.99017199017197
hangzhou_1x1_bc-tyc_18041610_1h,dqn,bucketed_with_phase,wait_only,-1114.0,16.0,7.736111111111112,75.7764127764128
hangzhou_1x1_bc-tyc_18041610_1h,ppo,bucketed_with_phase,wait_only,-1362.0,20.0,9.458333333333332,77.37837837837836
hangzhou_1x1_bc-tyc_18041610_1h,a2c,bucketed_with_phase,wait_only,-3132.0,47.0,21.75,101.27764127764127
hangzhou_1x1_bc-tyc_18041610_1h,dqn,bucketed_with_phase,wait_plus_vehicle,-2804.1,38.0,14.5625,88.02702702702705
hangzhou_1x1_bc-tyc_18041610_1h,ppo,bucketed_with_phase,wait_plus_vehicle,-6848.300000000001,109.0,40.54861111111111,125.45454545454545
hangzhou_1x1_bc-tyc_18041610_1h,a2c,bucketed_with_phase,wait_plus_vehicle,-9972.7,137.0,60.8125,162.1056511056511
hangzhou_1x1_bc-tyc_18041610_1h,dqn,bucketed_with_phase,delta_wait,-20.0,20.0,12.70138888888889,87.990171990172
hangzhou_1x1_bc-tyc_18041610_1h,ppo,bucketed_with_phase,delta_wait,-23.0,23.0,11.125,81.26535626535625
hangzhou_1x1_bc-tyc_18041610_1h,a2c,bucketed_with_phase,delta_wait,-25.0,25.0,13.041666666666666,85.46191646191645
